DateKey,Year,Month,DayofMonth,DayOfWeek,MonthName,Day
20080103,2008,1,3,4,Jan,Thu
20080104,2008,1,4,5,Jan,Fri
20080105,2008,1,5,6,Jan,Sat
20080106,2008,1,6,7,Jan,Sun
20080107,2008,1,7,1,Jan,Mon
20080108,2008,1,8,2,Jan,Tue
20080109,2008,1,9,3,Jan,Wed
20080110,2008,1,10,4,Jan,Thu
20080111,2008,1,11,5,Jan,Fri
20080112,2008,1,12,6,Jan,Sat
20080113,2008,1,13,7,Jan,Sun
20080114,2008,1,14,1,Jan,Mon
20080115,2008,1,15,2,Jan,Tue
20080116,2008,1,16,3,Jan,Wed
20080117,2008,1,17,4,Jan,Thu
20080118,2008,1,18,5,Jan,Fri
20080119,2008,1,19,6,Jan,Sat
20080120,2008,1,20,7,Jan,Sun
20080121,2008,1,21,1,Jan,Mon
20080122,2008,1,22,2,Jan,Tue
20080123,2008,1,23,3,Jan,Wed
20080124,2008,1,24,4,Jan,Thu
20080125,2008,1,25,5,Jan,Fri
20080126,2008,1,26,6,Jan,Sat
20080127,2008,1,27,7,Jan,Sun
20080128,2008,1,28,1,Jan,Mon
20080129,2008,1,29,2,Jan,Tue
20080130,2008,1,30,3,Jan,Wed
20080131,2008,1,31,4,Jan,Thu
20080102,2008,1,2,3,Jan,Wed
20080101,2008,1,1,2,Jan,Tue
20080202,2008,2,2,6,Feb,Sat
20080203,2008,2,3,7,Feb,Sun
20080204,2008,2,4,1,Feb,Mon
20080205,2008,2,5,2,Feb,Tue
20080206,2008,2,6,3,Feb,Wed
20080207,2008,2,7,4,Feb,Thu
20080208,2008,2,8,5,Feb,Fri
20080209,2008,2,9,6,Feb,Sat
20080210,2008,2,10,7,Feb,Sun
20080211,2008,2,11,1,Feb,Mon
20080212,2008,2,12,2,Feb,Tue
20080213,2008,2,13,3,Feb,Wed
20080214,2008,2,14,4,Feb,Thu
20080215,2008,2,15,5,Feb,Fri
20080216,2008,2,16,6,Feb,Sat
20080217,2008,2,17,7,Feb,Sun
20080218,2008,2,18,1,Feb,Mon
20080219,2008,2,19,2,Feb,Tue
20080220,2008,2,20,3,Feb,Wed
20080221,2008,2,21,4,Feb,Thu
20080222,2008,2,22,5,Feb,Fri
20080223,2008,2,23,6,Feb,Sat
20080224,2008,2,24,7,Feb,Sun
20080225,2008,2,25,1,Feb,Mon
20080226,2008,2,26,2,Feb,Tue
20080227,2008,2,27,3,Feb,Wed
20080228,2008,2,28,4,Feb,Thu
20080229,2008,2,29,5,Feb,Fri
20080201,2008,2,1,5,Feb,Fri
20080303,2008,3,3,1,Mar,Mon
20080304,2008,3,4,2,Mar,Tue
20080305,2008,3,5,3,Mar,Wed
20080306,2008,3,6,4,Mar,Thu
20080307,2008,3,7,5,Mar,Fri
20080308,2008,3,8,6,Mar,Sat
20080309,2008,3,9,7,Mar,Sun
20080310,2008,3,10,1,Mar,Mon
20080311,2008,3,11,2,Mar,Tue
20080312,2008,3,12,3,Mar,Wed
20080313,2008,3,13,4,Mar,Thu
20080314,2008,3,14,5,Mar,Fri
20080315,2008,3,15,6,Mar,Sat
20080316,2008,3,16,7,Mar,Sun
20080317,2008,3,17,1,Mar,Mon
20080318,2008,3,18,2,Mar,Tue
20080319,2008,3,19,3,Mar,Wed
20080320,2008,3,20,4,Mar,Thu
20080321,2008,3,21,5,Mar,Fri
20080322,2008,3,22,6,Mar,Sat
20080323,2008,3,23,7,Mar,Sun
20080324,2008,3,24,1,Mar,Mon
20080325,2008,3,25,2,Mar,Tue
20080326,2008,3,26,3,Mar,Wed
20080327,2008,3,27,4,Mar,Thu
20080328,2008,3,28,5,Mar,Fri
20080329,2008,3,29,6,Mar,Sat
20080330,2008,3,30,7,Mar,Sun
20080331,2008,3,31,1,Mar,Mon
20080301,2008,3,1,6,Mar,Sat
20080302,2008,3,2,7,Mar,Sun
20080403,2008,4,3,4,Apr,Thu
20080404,2008,4,4,5,Apr,Fri
20080405,2008,4,5,6,Apr,Sat
20080406,2008,4,6,7,Apr,Sun
20080407,2008,4,7,1,Apr,Mon
20080408,2008,4,8,2,Apr,Tue
20080409,2008,4,9,3,Apr,Wed
