Dest,DestKey
TPA,0
BWI,1
JAX,2
LAS,3
MCO,4
MDW,5
PHX,6
FLL,7
PBI,8
RSW,9
HOU,10
BHM,11
BNA,12
IND,13
PHL,14
ABQ,15
ALB,16
AMA,17
AUS,18
BDL,19
BOI,20
BUF,21
BUR,22
CLE,23
CMH,24
DEN,25
ELP,26
GEG,27
IAD,28
ISP,29
LAX,30
LBB,31
LIT,32
MAF,33
MCI,34
MHT,35
MSY,36
OAK,37
OKC,38
OMA,39
ONT,40
ORF,41
PDX,42
PIT,43
PVD,44
RDU,45
RNO,46
SAN,47
SAT,48
SDF,49
SEA,50
SFO,51
SJC,52
SLC,53
SMF,54
SNA,55
STL,56
TUL,57
TUS,58
DAL,59
DTW,60
JAN,61
HRL,62
CRP,63
EWR,64
IAH,65
ROC,66
MYR,67
GSO,68
SAV,69
RIC,70
COS,71
FAT,72
MRY,73
LGB,74
BFL,75
EUG,76
ICT,77
CAE,78
DFW,79
DAY,80
MSP,81
GSP,82
MEM,83
TYS,84
SHV,85
BTV,86
MFE,87
PWM,88
ATL,89
SYR,90
MKE,91
HSV,92
BTR,93
CHS,94
MSN,95
LFT,96
LRD,97
SRQ,98
CLT,99
VPS,100
AVL,101
GPT,102
LGA,103
ABE,104
BGR,105
DCA,106
ORD,107
GRR,108
MOB,109
PNS,110
CHA,111
MGM,112
CVG,113
GRK,114
PSP,115
TLH,116
LCH,117
BOS,118
BRO,119
XNA,120
BPT,121
LEX,122
MTJ,123
AEX,124
MLU,125
DSM,126
CRW,127
CLL,128
ILM,129
JFK,130
ASE,131
CPR,132
DRO,133
RAP,134
KOA,135
LIH,136
OGG,137
MDT,138
ROA,139
SPI,140
HNL,141
MFR,142
ATW,143
BMI,144
CAK,145
CID,146
FSD,147
FWA,148
GRB,149
LAN,150
MBS,151
SBN,152
FLG,153
GJT,154
YUM,155
EGE,156
ITO,157
AVP,158
CWA,159
TVC,160
SBP,161
SBA,162
COD,163
HDN,164
CLD,165
TEX,166
MLB,167
SGF,168
MIA,169
HPN,170
TRI,171
SUN,172
SGU,173
TWF,174
IDA,175
MSO,176
BZN,177
YKM,178
SLE,179
HLN,180
LWS,181
GTF,182
BIL,183
BTM,184
JAC,185
FCA,186
PSC,187
ACV,188
RDD,189
IPL,190
MOD,191
PIA,192
LNK,193
GUC,194
AZO,195
FAR,196
MLI,197
PMD,198
BIS,199
PIH,200
EKO,201
RDM,202
BLI,203
IYK,204
SMX,205
CEC,206
CIC,207
OXR,208
RFD,209
CDC,210
STT,211
SJU,212
ANC,213
STX,214
DAB,215
PHF,216
MCN,217
VLD,218
CSG,219
SWF,220
BQK,221
MEI,222
FAY,223
EWN,224
SCE,225
DHN,226
EYW,227
EVV,228
PFN,229
GNV,230
FNT,231
AGS,232
ABY,233
CHO,234
OAJ,235
FSM,236
FLO,237
HHH,238
TOL,239
LYH,240
GTR,241
ACY,242
TUP,243
LAW,244
TYR,245
ABI,246
TXK,247
ACT,248
SPS,249
SJT,250
GGG,251
CMI,252
ROW,253
MQT,254
RST,255
LSE,256
DBQ,257
DLH,258
GFK,259
MOT,260
RHI,261
SUX,262
CMX,263
BGM,264
PLN,265
ERI,266
ALO,267
ELM,268
KTN,269
SIT,270
JNU,271
CDV,272
PSG,273
YAK,274
WRG,275
FAI,276
OME,277
BRW,278
SCC,279
OTZ,280
BET,281
ADQ,282
ADK,283
PSE,284
BQN,285
GCC,286
RKS,287
MKG,288
DLG,289
AKN,290
LWB,291
ACK,292
WYS,293
INL,294
BJI,295
GST,296
LMT,297
OTH,298
ITH,299
HTS,300
PIR,301
