Origin,OriginKey
IAD,0
IND,1
ISP,2
JAN,3
JAX,4
LAS,5
LAX,6
LBB,7
LIT,8
MAF,9
MCI,10
MCO,11
MDW,12
MHT,13
MSY,14
OAK,15
OKC,16
OMA,17
ONT,18
ORF,19
PBI,20
PDX,21
PHL,22
PHX,23
PIT,24
PVD,25
RDU,26
RNO,27
RSW,28
SAN,29
SAT,30
SDF,31
SEA,32
SFO,33
SJC,34
SLC,35
SMF,36
SNA,37
STL,38
TPA,39
TUL,40
TUS,41
ABQ,42
ALB,43
AMA,44
AUS,45
BDL,46
BHM,47
BNA,48
BOI,49
BUF,50
BUR,51
BWI,52
CLE,53
CMH,54
CRP,55
DAL,56
DEN,57
DTW,58
ELP,59
FLL,60
GEG,61
HOU,62
HRL,63
ROC,64
ORD,65
EWR,66
SYR,67
IAH,68
CRW,69
FAT,70
COS,71
MRY,72
LGB,73
BFL,74
EUG,75
ICT,76
MEM,77
BTV,78
MKE,79
LFT,80
BRO,81
PWM,82
MSP,83
SRQ,84
CLT,85
CVG,86
GSO,87
SHV,88
DCA,89
TYS,90
GSP,91
RIC,92
DFW,93
BGR,94
DAY,95
GRR,96
CHS,97
CAE,98
TLH,99
XNA,100
GPT,101
VPS,102
LGA,103
ATL,104
MSN,105
SAV,106
BTR,107
LEX,108
LRD,109
MOB,110
MTJ,111
GRK,112
AEX,113
PNS,114
ABE,115
HSV,116
CHA,117
MFE,118
MLU,119
DSM,120
MGM,121
AVL,122
LCH,123
BOS,124
MYR,125
CLL,126
DAB,127
ASE,128
ATW,129
BMI,130
CAK,131
CID,132
CPR,133
EGE,134
FLG,135
FSD,136
FWA,137
GJT,138
GRB,139
HNL,140
KOA,141
LAN,142
LIH,143
MBS,144
MDT,145
MFR,146
OGG,147
PSP,148
RAP,149
ROA,150
SBA,151
SBN,152
SPI,153
TEX,154
YUM,155
AVP,156
CWA,157
DRO,158
ILM,159
ITO,160
JFK,161
TVC,162
HDN,163
SBP,164
CLD,165
HPN,166
MIA,167
SGF,168
TRI,169
SUN,170
SGU,171
SLE,172
MSO,173
BZN,174
YKM,175
GTF,176
BIL,177
JAC,178
MOD,179
FAR,180
GUC,181
AZO,182
PIA,183
MLI,184
LNK,185
FCA,186
IDA,187
BIS,188
PSC,189
COD,190
TWF,191
RDM,192
HLN,193
RDD,194
PIH,195
EKO,196
LWS,197
SMX,198
ACV,199
OXR,200
CEC,201
CIC,202
PMD,203
RFD,204
BTM,205
IYK,206
IPL,207
BLI,208
CDC,209
SJU,210
STT,211
ANC,212
STX,213
MLB,214
PHF,215
PFN,216
FAY,217
AGS,218
GNV,219
ABY,220
DHN,221
EVV,222
FNT,223
OAJ,224
TOL,225
SWF,226
EWN,227
MEI,228
GTR,229
LYH,230
HHH,231
EYW,232
VLD,233
CSG,234
ACY,235
FSM,236
MCN,237
CHO,238
FLO,239
BQK,240
SCE,241
TUP,242
TYR,243
LAW,244
SPS,245
ABI,246
GGG,247
ACT,248
SJT,249
TXK,250
CMI,251
ROW,252
RST,253
MQT,254
LSE,255
DBQ,256
GFK,257
MOT,258
DLH,259
SUX,260
PLN,261
BGM,262
ERI,263
ALO,264
CMX,265
RHI,266
ELM,267
JNU,268
KTN,269
SIT,270
PSG,271
CDV,272
YAK,273
BRW,274
OME,275
OTZ,276
BET,277
FAI,278
SCC,279
ADQ,280
WRG,281
ADK,282
PSE,283
BQN,284
BPT,285
RKS,286
GCC,287
MKG,288
DLG,289
AKN,290
LWB,291
ACK,292
WYS,293
BJI,294
INL,295
GST,296
PUB,297
OTH,298
LMT,299
ITH,300
HTS,301
PIR,302
